rank,Scene ID,VPQ_inf
1,scene0432_00,0.8766
2,scene0553_00,0.5576
3,scene0019_00,0.5377
4,scene0647_00,0.5262
5,scene0316_00,0.4993
6,scene0334_00,0.4865
7,scene0251_00,0.4784
8,scene0423_00,0.4765
9,scene0389_00,0.4695
10,scene0575_00,0.4662
11,scene0689_00,0.4634
12,scene0608_00,0.4502
13,scene0187_00,0.4479
14,scene0338_00,0.4448
15,scene0699_00,0.4416
16,scene0693_00,0.4396
17,scene0665_00,0.4338
18,scene0595_00,0.4297
19,scene0701_00,0.4279
20,scene0277_00,0.4271
21,scene0461_00,0.4194
22,scene0568_00,0.4193
23,scene0686_00,0.4120
24,scene0574_00,0.4107
25,scene0598_00,0.4091
26,scene0146_00,0.4048
27,scene0100_00,0.4000
28,scene0378_00,0.3976
29,scene0063_00,0.3927
30,scene0217_00,0.3922
31,scene0658_00,0.3763
32,scene0030_00,0.3722
33,scene0559_00,0.3712
34,scene0441_00,0.3700
35,scene0651_00,0.3638
36,scene0329_00,0.3603
37,scene0670_00,0.3592
38,scene0406_00,0.3584
39,scene0629_00,0.3570
40,scene0685_00,0.3559
41,scene0599_00,0.3524
42,scene0084_00,0.3404
43,scene0050_00,0.3402
44,scene0353_00,0.3401
45,scene0430_00,0.3369
46,scene0549_00,0.3368
47,scene0700_00,0.3351
48,scene0462_00,0.3346
49,scene0081_00,0.3299
50,scene0535_00,0.3264
51,scene0593_00,0.3261
52,scene0356_00,0.3238
53,scene0088_00,0.3167
54,scene0343_00,0.3160
55,scene0606_00,0.3130
56,scene0300_00,0.3115
57,scene0193_00,0.3089
58,scene0077_00,0.3018
59,scene0552_00,0.3015
60,scene0427_00,0.2996
61,scene0607_00,0.2964
62,scene0565_00,0.2951
63,scene0660_00,0.2950
64,scene0086_00,0.2932
65,scene0664_00,0.2905
66,scene0153_00,0.2881
67,scene0496_00,0.2838
68,scene0684_00,0.2832
69,scene0633_00,0.2827
70,scene0357_00,0.2813
71,scene0527_00,0.2806
72,scene0458_00,0.2805
73,scene0414_00,0.2737
74,scene0435_00,0.2726
75,scene0278_00,0.2646
76,scene0164_00,0.2621
77,scene0131_00,0.2602
78,scene0169_00,0.2601
79,scene0222_00,0.2582
80,scene0653_00,0.2577
81,scene0015_00,0.2546
82,scene0382_00,0.2539
83,scene0426_00,0.2530
84,scene0591_00,0.2506
85,scene0494_00,0.2499
86,scene0702_00,0.2490
87,scene0645_00,0.2472
88,scene0249_00,0.2452
89,scene0550_00,0.2449
90,scene0583_00,0.2424
91,scene0678_00,0.2401
92,scene0221_00,0.2336
93,scene0671_00,0.2324
94,scene0314_00,0.2298
95,scene0663_00,0.2271
96,scene0578_00,0.2267
97,scene0580_00,0.2261
98,scene0257_00,0.2225
99,scene0652_00,0.2194
100,scene0618_00,0.2177
101,scene0377_00,0.2120
102,scene0412_00,0.2117
103,scene0355_00,0.2068
104,scene0621_00,0.2064
105,scene0690_00,0.2045
106,scene0697_00,0.1940
107,scene0139_00,0.1890
108,scene0342_00,0.1859
109,scene0695_00,0.1804
110,scene0207_00,0.1786
111,scene0144_00,0.1778
112,scene0046_00,0.1772
113,scene0488_00,0.1764
114,scene0655_00,0.1751
115,scene0616_00,0.1740
116,scene0643_00,0.1692
117,scene0025_00,0.1673
118,scene0558_00,0.1663
119,scene0246_00,0.1637
120,scene0696_00,0.1621
121,scene0474_00,0.1617
122,scene0500_00,0.1588
123,scene0064_00,0.1575
124,scene0304_00,0.1574
125,scene0490_00,0.1569
126,scene0354_00,0.1507
127,scene0648_00,0.1470
128,scene0644_00,0.1446
129,scene0351_00,0.1415
130,scene0609_00,0.1368
131,scene0704_00,0.1339
132,scene0328_00,0.1324
133,scene0231_00,0.1231
134,scene0149_00,0.1210
135,scene0307_00,0.1178
136,scene0518_00,0.1055
137,scene0256_00,0.1049
138,scene0203_00,0.0920
139,scene0011_00,0.0913
140,scene0196_00,0.0835
141,scene0095_00,0.0338
142,scene0208_00,0.0219
